날짜,종목코드,Close,Open,High,Low,Volume,일별수익률,변동성(20일),종목명,시장구분
2010-10-21,005930,15300,14900,15300,14820,567644,0.02684563758389258,292.3930303727035,삼성전자,KOSPI
2010-10-22,005930,15540,15460,15540,15340,408511,0.015686274509803866,301.51197933783146,삼성전자,KOSPI
2010-10-25,005930,15420,15460,15580,15339,248329,-0.007722007722007707,302.960827761447,삼성전자,KOSPI
2010-10-26,005930,15260,15360,15420,15160,312674,-0.01037613488975353,292.07064754593387,삼성전자,KOSPI
2010-10-27,005930,15060,15160,15300,15019,334811,-0.013106159895150737,292.10488383096424,삼성전자,KOSPI
2010-10-28,005930,15280,15200,15299,15060,293095,0.014608233731739695,283.76417191598426,삼성전자,KOSPI
2010-10-29,005930,14900,15280,15300,14900,463204,-0.02486910994764402,282.8129379903672,삼성전자,KOSPI
2010-11-01,005930,14940,15060,15060,14860,296972,0.0026845637583892135,271.4696842627011,삼성전자,KOSPI
2010-11-02,005930,14800,14939,14960,14740,330999,-0.009370816599732268,273.5728518387092,삼성전자,KOSPI
2010-11-03,005930,14800,14799,14980,14779,359315,0.0,222.6420303631302,삼성전자,KOSPI
2010-11-04,005930,15260,14940,15280,14900,547715,0.031081081081081097,213.9847510553427,삼성전자,KOSPI
2010-11-05,005930,15520,15600,15800,15500,703745,0.017038007863696025,235.96609926005573,삼성전자,KOSPI
2010-11-08,005930,15560,15700,15760,15519,279228,0.002577319587628857,258.27565853072593,삼성전자,KOSPI
2010-11-09,005930,15480,15680,15680,15340,256281,-0.005141388174807249,266.47602834817434,삼성전자,KOSPI
2010-11-10,005930,15800,15600,15800,15500,422271,0.02067183462532296,296.73841040642645,삼성전자,KOSPI
2010-11-11,005930,15340,15860,15980,15340,907350,-0.029113924050632956,295.1966338418943,삼성전자,KOSPI
2010-11-12,005930,15560,15680,15800,15460,566889,0.014341590612777066,303.96675718520714,삼성전자,KOSPI
2010-11-15,005930,16160,15719,16300,15700,719096,0.03856041131105403,363.88980402546406,삼성전자,KOSPI
2010-11-16,005930,16220,16280,16400,16000,590651,0.003712871287128605,402.35491010327803,삼성전자,KOSPI
